Date,Open,High,Low,Close,Adj Close,Volume
2019-03-05,0.083504,0.086622,0.082984,0.086299,0.086299,162905353
2019-03-06,0.086338,0.086610,0.084501,0.085566,0.085566,139934665
2019-03-07,0.085534,0.086223,0.084875,0.085541,0.085541,121504119
2019-03-08,0.085608,0.089432,0.085384,0.087246,0.087246,142744835
2019-03-09,0.087038,0.090924,0.086833,0.089744,0.089744,138039148
2019-03-10,0.090055,0.101571,0.089516,0.100039,0.100039,206273828
2019-03-11,0.099865,0.107836,0.099180,0.102263,0.102263,233084341
2019-03-12,0.102322,0.106382,0.097573,0.104598,0.104598,155318737
2019-03-13,0.104512,0.109546,0.102105,0.108199,0.108199,158665262
2019-03-14,0.108103,0.111709,0.106917,0.107272,0.107272,167089003
2019-03-15,0.107210,0.108453,0.105109,0.107773,0.107773,128011253
2019-03-16,0.107836,0.110904,0.107662,0.109619,0.109619,146002755
2019-03-17,0.109584,0.109691,0.108163,0.109385,0.109385,149591732
2019-03-18,0.109486,0.118035,0.108358,0.115914,0.115914,234881352
2019-03-19,0.116198,0.117840,0.112673,0.113248,0.113248,263893227
2019-03-20,0.113586,0.113830,0.110799,0.111403,0.111403,285900109
2019-03-21,0.111505,0.111952,0.105234,0.107947,0.107947,314783766
2019-03-22,0.107948,0.110189,0.106683,0.108693,0.108693,242127249
2019-03-23,0.108520,0.109647,0.107014,0.108281,0.108281,214433790
2019-03-24,0.107944,0.108320,0.105448,0.106012,0.106012,207117071
2019-03-25,0.106107,0.106330,0.101531,0.102469,0.102469,213883511
2019-03-26,0.102485,0.104204,0.098930,0.103379,0.103379,243408090
2019-03-27,0.103381,0.108254,0.103270,0.108062,0.108062,306202676
2019-03-28,0.108017,0.108950,0.105994,0.107440,0.107440,215643531
2019-03-29,0.107416,0.108456,0.106206,0.107572,0.107572,289766754
2019-03-30,0.107578,0.112294,0.105685,0.107359,0.107359,328747048
2019-03-31,0.107423,0.108088,0.106024,0.107651,0.107651,268624667
2019-04-01,0.107642,0.110192,0.107410,0.109615,0.109615,301225293
2019-04-02,0.109628,0.122047,0.109068,0.121901,0.121901,574669735
2019-04-03,0.121859,0.132162,0.119511,0.121339,0.121339,342896671
2019-04-04,0.121314,0.125366,0.117057,0.118788,0.118788,335300168
2019-04-05,0.118790,0.127923,0.118714,0.126367,0.126367,443759813
2019-04-06,0.126378,0.130149,0.123209,0.124729,0.124729,309328452
2019-04-07,0.124707,0.132148,0.123427,0.130303,0.130303,349981245
2019-04-08,0.130495,0.134701,0.126599,0.131996,0.131996,356932080
2019-04-09,0.132015,0.132015,0.124804,0.125384,0.125384,317403406
2019-04-10,0.125362,0.128422,0.124100,0.125462,0.125462,315278612
2019-04-11,0.125485,0.125879,0.112837,0.116685,0.116685,367545646
2019-04-12,0.116747,0.116747,0.112349,0.114609,0.114609,298547661
2019-04-13,0.114586,0.117610,0.114202,0.115898,0.115898,274954170
2019-04-14,0.115918,0.124288,0.113809,0.116663,0.116663,233364143
2019-04-15,0.116647,0.119473,0.112898,0.113629,0.113629,244231542
2019-04-16,0.113640,0.117505,0.111893,0.117505,0.117505,228442392
2019-04-17,0.117512,0.117512,0.114773,0.116636,0.116636,299495677
2019-04-18,0.116655,0.119237,0.115588,0.117363,0.117363,281638808
2019-04-19,0.117277,0.117317,0.114736,0.115737,0.115737,274207136
2019-04-20,0.115827,0.117340,0.114016,0.115532,0.115532,231893389
2019-04-21,0.115479,0.115828,0.110109,0.112404,0.112404,244064678
2019-04-22,0.112438,0.114323,0.110666,0.113495,0.113495,247272040
2019-04-23,0.113500,0.114636,0.111096,0.111824,0.111824,249524440
2019-04-24,0.111793,0.111793,0.101242,0.103259,0.103259,296187705
2019-04-25,0.103284,0.105817,0.098894,0.099074,0.099074,257140761
2019-04-26,0.099127,0.101052,0.097212,0.099140,0.099140,253112252
2019-04-27,0.099223,0.101052,0.098576,0.099951,0.099951,201403657
2019-04-28,0.099992,0.100774,0.097778,0.098736,0.098736,184650540
2019-04-29,0.098736,0.100421,0.095002,0.096475,0.096475,193230515
2019-04-30,0.096438,0.100280,0.096314,0.099953,0.099953,195522091
2019-05-01,0.099879,0.102141,0.099684,0.101351,0.101351,193384687
2019-05-02,0.101441,0.102115,0.098696,0.100275,0.100275,206633883
2019-05-03,0.100240,0.104857,0.098566,0.102295,0.102295,251161108
2019-05-04,0.102265,0.103659,0.098608,0.099677,0.099677,239944327
2019-05-05,0.099763,0.101756,0.097336,0.098927,0.098927,205158492
2019-05-06,0.099044,0.099589,0.095551,0.097809,0.097809,216507558
2019-05-07,0.097614,0.099227,0.094926,0.094926,0.094926,212014100
2019-05-08,0.094908,0.095035,0.093477,0.093697,0.093697,205343058
2019-05-09,0.093691,0.095656,0.088298,0.090232,0.090232,220103356
2019-05-10,0.090271,0.093525,0.088851,0.092452,0.092452,241131698
2019-05-11,0.092424,0.105702,0.092336,0.104228,0.104228,377230950
2019-05-12,0.104128,0.106104,0.096868,0.098866,0.098866,347468948
2019-05-13,0.098953,0.103069,0.098735,0.100416,0.100416,388830187
2019-05-14,0.100436,0.115273,0.099608,0.112994,0.112994,803031426
2019-05-15,0.113096,0.137002,0.112924,0.137002,0.137002,570303021
2019-05-16,0.137172,0.158347,0.132637,0.137283,0.137283,837742776
2019-05-17,0.137213,0.138914,0.119322,0.126562,0.126562,539181495
2019-05-18,0.128224,0.135179,0.127200,0.128833,0.128833,433692513
2019-05-19,0.128746,0.142912,0.127618,0.141485,0.141485,526532030
2019-05-20,0.141462,0.141492,0.130769,0.135545,0.135545,502307578
2019-05-21,0.135576,0.136392,0.131848,0.134326,0.134326,411336482
2019-05-22,0.134267,0.135236,0.123011,0.124257,0.124257,414103053
2019-05-23,0.124240,0.126375,0.120036,0.125167,0.125167,440656425
2019-05-24,0.125190,0.129308,0.123378,0.125944,0.125944,453216069
2019-05-25,0.126001,0.128315,0.125090,0.125821,0.125821,344507034
2019-05-26,0.125796,0.134264,0.123934,0.133135,0.133135,400434267
2019-05-27,0.133265,0.141597,0.132300,0.136869,0.136869,508588036
2019-05-28,0.136841,0.139087,0.132234,0.138960,0.138960,516088336
2019-05-29,0.139039,0.139065,0.132190,0.136491,0.136491,495108156
2019-05-30,0.136525,0.143193,0.127751,0.130067,0.130067,634399475
2019-05-31,0.130088,0.133889,0.126332,0.133664,0.133664,429586829
2019-06-01,0.133645,0.134255,0.129943,0.133101,0.133101,463748029
2019-06-02,0.133126,0.137869,0.133044,0.137623,0.137623,428728157
2019-06-03,0.137524,0.139661,0.129652,0.129983,0.129983,451453721
2019-06-04,0.130054,0.130054,0.118954,0.122077,0.122077,472906605
2019-06-05,0.122101,0.125406,0.120484,0.121284,0.121284,364346500
2019-06-06,0.121236,0.124536,0.119547,0.124382,0.124382,426080833
2019-06-07,0.124347,0.129185,0.123776,0.127542,0.127542,437227118
2019-06-08,0.127500,0.128237,0.124238,0.126277,0.126277,395580903
2019-06-09,0.126158,0.126485,0.118324,0.119915,0.119915,369553778
2019-06-10,0.119811,0.124650,0.118348,0.123940,0.123940,351384677
2019-06-11,0.123984,0.124290,0.119732,0.122827,0.122827,379804244
2019-06-12,0.122894,0.126918,0.121754,0.126446,0.126446,438940968
2019-06-13,0.126373,0.127040,0.124560,0.124728,0.124728,458304560
